Date,Open,High,Low,Close,Adj Close,Volume
24-10-2019,61.127499,61.200001,60.452499,60.895,60.296741,69275200
25-10-2019,60.790001,61.682499,60.720001,61.645,61.039375,73477200
28-10-2019,61.855,62.3125,61.68,62.262501,61.65081,96572800
29-10-2019,62.2425,62.4375,60.642502,60.822498,60.224953,142839600
30-10-2019,61.189999,61.325001,60.302502,60.814999,60.217525,124522000
31-10-2019,61.810001,62.2925,59.314999,62.189999,61.579021,139162000
01-11-2019,62.384998,63.982498,62.290001,63.955002,63.326683,151125200
04-11-2019,64.332497,64.462502,63.845001,64.375,63.742554,103272000
05-11-2019,64.262497,64.547501,64.080002,64.282501,63.65097,79897600
06-11-2019,64.192497,64.372498,63.842499,64.309998,63.678192,75864400
07-11-2019,64.684998,65.087502,64.527496,64.857498,64.413116,94940400
08-11-2019,64.672501,65.110001,64.212502,65.035004,64.589409,69986400
11-11-2019,64.574997,65.6175,64.57,65.550003,65.100876,81821200
12-11-2019,65.387497,65.697502,65.230003,65.489998,65.041283,87388800
13-11-2019,65.282501,66.195,65.267502,66.1175,65.66449,102734400
14-11-2019,65.9375,66.220001,65.525002,65.660004,65.210121,89182800
15-11-2019,65.919998,66.445,65.752502,66.440002,65.984779,100206400
18-11-2019,66.449997,66.857498,66.057503,66.775002,66.31749,86703200
19-11-2019,66.974998,67,66.347504,66.572502,66.116371,76167200
20-11-2019,66.385002,66.519997,65.099998,65.797501,65.346687,106234400
21-11-2019,65.922501,66.002502,65.294998,65.502502,65.053703,121395200
22-11-2019,65.647499,65.794998,65.209999,65.445,64.996597,65325200
25-11-2019,65.677498,66.610001,65.629997,66.592499,66.13623,84020400
26-11-2019,66.735001,66.790001,65.625,66.072502,65.619789,105207600
27-11-2019,66.394997,66.995003,66.327499,66.959999,66.501213,65235600
29-11-2019,66.650002,67,66.474998,66.8125,66.354729,46617600
02-12-2019,66.817497,67.0625,65.862503,66.040001,65.587517,94487200
03-12-2019,64.577499,64.8825,64.072502,64.862503,64.418091,114430400
04-12-2019,65.267502,65.827499,65.169998,65.434998,64.986664,67181600
05-12-2019,65.947502,66.472504,65.682503,66.394997,65.940086,74424400
06-12-2019,66.870003,67.75,66.824997,67.677498,67.213799,106075600
09-12-2019,67.5,67.699997,66.227501,66.730003,66.272789,128042400
10-12-2019,67.150002,67.517502,66.464996,67.120003,66.660126,90420400
11-12-2019,67.202499,67.775002,67.125,67.692497,67.228699,78756800
12-12-2019,66.945,68.139999,66.830002,67.864998,67.400017,137310400
13-12-2019,67.864998,68.824997,67.732498,68.787498,68.316193,133587600
16-12-2019,69.25,70.197502,69.245003,69.964996,69.485619,128186000
17-12-2019,69.892502,70.442497,69.699997,70.102501,69.622192,114158400
18-12-2019,69.949997,70.474998,69.779999,69.934998,69.455833,116028400
19-12-2019,69.875,70.294998,69.737503,70.004997,69.525352,98369200
20-12-2019,70.557503,70.662498,69.639999,69.860001,69.381348,275978000
23-12-2019,70.1325,71.0625,70.092499,71,70.513535,98572000
24-12-2019,71.172501,71.222504,70.730003,71.067497,70.580566,48478800
26-12-2019,71.205002,72.495003,71.175003,72.477501,71.980911,93121200
27-12-2019,72.779999,73.4925,72.029999,72.449997,71.953598,146266000
30-12-2019,72.364998,73.172501,71.305,72.879997,72.380653,144114400
31-12-2019,72.482498,73.419998,72.379997,73.412498,72.9095,100805600
02-01-2020,74.059998,75.150002,73.797501,75.087502,74.573036,135480400
03-01-2020,74.287498,75.144997,74.125,74.357498,73.84803,146322800
06-01-2020,73.447502,74.989998,73.1875,74.949997,74.43647,118387200
07-01-2020,74.959999,75.224998,74.370003,74.597504,74.086395,108872000
08-01-2020,74.290001,76.110001,74.290001,75.797501,75.27816,132079200
09-01-2020,76.809998,77.607498,76.550003,77.407501,76.877136,170108400
10-01-2020,77.650002,78.167503,77.0625,77.582497,77.050926,140644800
13-01-2020,77.910004,79.267502,77.787498,79.239998,78.697075,121532000
14-01-2020,79.175003,79.392502,78.042503,78.169998,77.634407,161954400
15-01-2020,77.962502,78.875,77.387497,77.834999,77.301704,121923600
16-01-2020,78.397499,78.925003,78.022499,78.809998,78.27002,108829200
17-01-2020,79.067497,79.684998,78.75,79.682503,79.136551,137816400
21-01-2020,79.297501,79.754997,79,79.142502,78.60025,110843200
22-01-2020,79.644997,79.997498,79.327499,79.425003,78.880821,101832400
23-01-2020,79.480003,79.889999,78.912498,79.807503,79.260696,104472000
24-01-2020,80.0625,80.832497,79.379997,79.577499,79.032265,146537600
